year,health_board,age,sex,incident_cases,crude_rate,easr
2010,NHS Borders,0-44 years,Male,7,24.96166601290875,24.2230295326564
2010,NHS Borders,0-44 years,Female,4,13.94019655677145,16.157545965894624
2010,NHS Borders,45-64 years,Male,34,203.97144399784028,199.65193450916533
2010,NHS Borders,45-64 years,Female,16,93.32711152589827,90.06231063835625
2010,NHS Borders,65-74 years,Male,40,674.5362563237774,681.9235902286226
2010,NHS Borders,65-74 years,Female,28,426.82926829268297,426.08294431675927
2010,NHS Borders,75plus years,Male,76,1780.27641133755,1911.0767723247466
2010,NHS Borders,75plus years,Female,105,1671.70832669957,1654.1848887196516
2010,NHS Dumfries & Galloway,0-44 years,Male,9,24.51180652014053,25.24495258380313
2010,NHS Dumfries & Galloway,0-44 years,Female,5,13.446643717728055,12.732006475220357
2010,NHS Dumfries & Galloway,45-64 years,Male,49,223.0111050427817,222.14536451948086
2010,NHS Dumfries & Galloway,45-64 years,Female,28,121.7232534886754,119.75594260927544
2010,NHS Dumfries & Galloway,65-74 years,Male,62,727.699530516432,731.4326369094447
2010,NHS Dumfries & Galloway,65-74 years,Female,40,437.34966105401264,446.8394953217091
2010,NHS Dumfries & Galloway,75plus years,Male,109,1825.4898676938535,2147.64675195435
2010,NHS Dumfries & Galloway,75plus years,Female,167,1931.3056551405111,1926.894703329307
2010,NHS Fife,0-44 years,Male,16,16.17534069311335,16.08337465771254
2010,NHS Fife,0-44 years,Female,16,15.91105719030619,16.837703791829007
2010,NHS Fife,45-64 years,Male,104,213.20650279833532,211.00256482455313
2010,NHS Fife,45-64 years,Female,89,174.58511514771078,175.20065016736146
2010,NHS Fife,65-74 years,Male,83,519.1068859841141,522.8468522745071
2010,NHS Fife,65-74 years,Female,102,562.5723898295737,566.3207333250716
2010,NHS Fife,75plus years,Male,209,1912.8683873329674,2099.807286098804
2010,NHS Fife,75plus years,Female,298,1739.4349754844736,1749.0047741234187
2010,NHS Forth Valley,0-44 years,Male,21,25.333252910308218,24.67366543934701
2010,NHS Forth Valley,0-44 years,Female,19,22.639800769753226,21.5560825578847
2010,NHS Forth Valley,45-64 years,Male,84,214.63065641209084,214.24416900525136
2010,NHS Forth Valley,45-64 years,Female,67,165.04902202295906,165.8659061275955
2010,NHS Forth Valley,65-74 years,Male,88,704.9587438916926,709.9975459016124
2010,NHS Forth Valley,65-74 years,Female,75,521.0866393385674,522.1737333698825
2010,NHS Forth Valley,75plus years,Male,162,2011.173184357542,2315.1428097957387
2010,NHS Forth Valley,75plus years,Female,244,1919.7482297403621,1958.932145050314
2010,NHS Grampian,0-44 years,Male,25,15.377801835494427,15.173429112639512
2010,NHS Grampian,0-44 years,Female,17,10.80634395957156,10.541554958615766
2010,NHS Grampian,45-64 years,Male,131,172.60461684410245,173.98638992922096
2010,NHS Grampian,45-64 years,Female,85,112.5291251853421,113.39183476601134
2010,NHS Grampian,65-74 years,Male,133,590.6648310165652,598.2968111118823
2010,NHS Grampian,65-74 years,Female,97,390.7508862391234,391.4345243258909
2010,NHS Grampian,75plus years,Male,274,1731.8753555401051,1972.8386592064044
2010,NHS Grampian,75plus years,Female,435,1759.0683003760764,1770.2573890872552
2010,NHS Greater Glasgow & Clyde,0-44 years,Male,86,26.40677487303254,27.3048324684729
2010,NHS Greater Glasgow & Clyde,0-44 years,Female,75,22.667512920482366,22.299969624365716
2010,NHS Greater Glasgow & Clyde,45-64 years,Male,401,286.1996117391801,294.77665802729206
2010,NHS Greater Glasgow & Clyde,45-64 years,Female,264,176.94251379012204,182.4424157389427
2010,NHS Greater Glasgow & Clyde,65-74 years,Male,331,779.8878469440648,784.29832848567
2010,NHS Greater Glasgow & Clyde,65-74 years,Female,301,580.576719066448,576.1344496674002
2010,NHS Greater Glasgow & Clyde,75plus years,Male,544,1844.8182311448725,1996.6844809387524
2010,NHS Greater Glasgow & Clyde,75plus years,Female,954,1810.315381987931,1820.0867397247064
2010,NHS Highland,0-44 years,Male,9,10.8717973496974,11.27898864826155
2010,NHS Highland,0-44 years,Female,14,17.347343378271216,16.531186229517523
2010,NHS Highland,45-64 years,Male,83,178.13834696198998,174.90806763566732
2010,NHS Highland,45-64 years,Female,71,148.50449696716169,144.98110340515055
2010,NHS Highland,65-74 years,Male,101,633.984056242546,651.6252615970596
2010,NHS Highland,65-74 years,Female,74,422.3021172173715,425.7360352736289
2010,NHS Highland,75plus years,Male,193,1807.793180966654,1869.391275836927
